googleAPI_return_Address,lat,lng
508台灣彰化縣和美鎮彰新路六段569號,24.1498762,120.5095588
600台灣嘉義市西區德福街8-10號,23.4813959,120.4315758
600台灣嘉義市西區康樂街210號,23.4745273,120.4439273
600台灣嘉義市東區圓福街118巷2弄108號,23.488141,120.467014
600台灣嘉義市西區國華街91號,23.4731443,120.4491111
600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228
600台灣嘉義市東區林森東路750號,23.4923366,120.4778693
508台灣彰化縣和美鎮彰新路六段246-280號,24.1421277,120.5078066
600台灣嘉義市西區八德路332號,23.4912823,120.4302195
508台灣彰化縣和美鎮彰新路六段163-173號,24.1401908,120.5085185
600台灣嘉義市西區永康三街1號,23.4755222,120.425434
600台灣嘉義市東區文雅街,23.4837986,120.487306
600台灣嘉義市西區自由路510號,23.4930581,120.4317377
600台灣嘉義市西區上海路239號,23.4678092,120.4337264
502台灣彰化縣芬園鄉大彰路一段535號,23.9610659,120.629349
600台灣嘉義市西區福州七街30號,23.4618875,120.4334259
600台灣嘉義市西區新民路757巷22號,23.4699596,120.4390081
600台灣嘉義市西區車店街30號,23.4662329,120.4342797
600台灣嘉義市東區溪興街153巷30弄16號,23.4539759,120.4562452
600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133
600台灣嘉義市西區自強街195巷27號,23.464458,120.4203273
600台灣嘉義市西區廣州街120號,23.4627158,120.4331098
600台灣嘉義市西區縱貫公路334-368號,23.4876446,120.4445806
600台灣嘉義市西區崇文街271-275號,23.4716804,120.4490699
600台灣嘉義市西區新榮路301號,23.4782794,120.4442146
600台灣嘉義市西區崇文街152巷20號,23.4722387,120.4482391
600台灣嘉義市西區南京路30號,23.4562023,120.4426332
600台灣嘉義市西區中正路383-399號,23.4788021,120.4495005
600台灣嘉義市西區中正路383-399號,23.4788021,120.4495005
600台灣嘉義市東區溪興街105巷30號,23.4546714,120.4580874
600台灣嘉義市東區東義路156巷35弄30號,23.4953961,120.4709181
600台灣嘉義市西區興達路480號,23.484986,120.431949
600台灣嘉義市東區立仁路120號,23.464948,120.463572
600台灣嘉義市西區博愛路二段133號,23.4815231,120.4398559
600台灣嘉義市西區興業西路248號,23.4681755,120.4405567
600台灣嘉義市西區北港路30號,23.4756655,120.4355605
600台灣嘉義市西區興業西路151號,23.4681143,120.4426909
600台灣嘉義市東區林森東路691巷33號,23.4943231,120.4783031
600台灣嘉義市西區育人路160巷25-83號,23.4736601,120.4192517
600台灣嘉義市西區民生南路850巷1弄30號,23.4545835,120.4393273
600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339
508台灣彰化縣和美鎮彰新路六段694號,24.1523209,120.5096497
600台灣嘉義市西區南京路20巷19-57號,23.4566788,120.4425104
600台灣嘉義市東區林森東路60號,23.4867484,120.4566382
600台灣嘉義市西區錦州一街37號,23.4649233,120.4354031
502台灣彰化縣芬園鄉大彰路一段535號,23.9610659,120.629349
600台灣嘉義市西區玉山路104號,23.4726976,120.4290426
600台灣嘉義市西區德明路90號,23.4814836,120.4320387
600台灣嘉義市西區國華街211號,23.4779432,120.4486112
600台灣嘉義市東區彌陀路237號,23.4684617,120.4657539
600台灣嘉義市西區光彩街491號,23.4778275,120.4457525
600台灣嘉義市西區廣州街181號,23.4631221,120.4324537
600台灣嘉義市西區縱貫公路457號,23.4720414,120.431447
600台灣嘉義市西區南京路30號,23.4562023,120.4426332
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區泰瑞一街48號,23.4838433,120.4257913
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
