年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10412(實價),住宅大樓,嘉義市嘉義市新榮路1~30號,11.2,3房/1廳/2衛,1 /共14層,59,13.93,--,--萬,5.4萬,317萬,600台灣嘉義市西區新榮路1號,23.4689591,120.4451514,致遠里
10412(實價),住宅大樓,嘉義市嘉義市志昇街91~120號,11.1,3房/1廳/2衛,1 /共14層,62.44,13.94,--,--萬,5.6萬,346萬,600台灣嘉義市西區志昇街79號,23.4691128,120.4430855,翠岱里
10412(實價),住宅大樓,嘉義市嘉義市新榮路1~30號,11.2,3房/1廳/2衛,1 /共14層,59.15,13.97,--,--萬,5.4萬,318萬,600台灣嘉義市西區新榮路1號,23.4689591,120.4451514,致遠里
10412(實價),住宅大樓,嘉義市嘉義市志昇街91~120號,11.1,3房/1廳/2衛,1 /共14層,62.43,13.93,--,--萬,5.6萬,346萬,600台灣嘉義市西區志昇街79號,23.4691128,120.4430855,翠岱里
10412(實價),華廈(含車位),嘉義市嘉義市臺林街31~60號,25.2,3房/2廳/2衛,1 /共7層,38.57,8.01,--,--萬,9.1萬,350萬,找不到位址,無,無,無
10412(實價),住宅大樓(含車位),嘉義市嘉義市德福街1~30號,21.1,3房/2廳/2衛,7 /共11層,39.65,6.03,--,--萬,8.3萬,330萬,600台灣嘉義市西區德福街8-10號,23.4813959,120.4315758,福全里
10412(實價),住宅大樓,嘉義市嘉義市新榮路1~30號,11.2,3房/1廳/2衛,1 /共14層,59.03,13.94,--,--萬,5.4萬,317萬,600台灣嘉義市西區新榮路1號,23.4689591,120.4451514,致遠里
10412(實價),華廈,嘉義市嘉義市光彩街91~120號,25.8,3房/2廳/2衛,3 /共6層,65.6,11.72,--,--萬,7.6萬,500萬,600台灣嘉義市東區光彩街120號,23.4793585,120.4595519,華南里
10412(實價),住宅大樓,嘉義市嘉義市志昇街91~120號,11.1,3房/1廳/2衛,1 /共14層,62.43,13.93,--,--萬,5.6萬,346萬,600台灣嘉義市西區志昇街79號,23.4691128,120.4430855,翠岱里
10412(實價),住宅大樓,嘉義市嘉義市永安街331~360號,11.2,3房/1廳/2衛,1 /共12層,56.85,10.06,--,--萬,6萬,338萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10412(實價),住宅大樓,嘉義市嘉義市永安街331~360號,11.2,3房/1廳/2衛,1 /共12層,56.85,10.06,--,--萬,6萬,338萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10412(實價),住宅大樓,嘉義市嘉義市永安街331~360號,11.2,3房/1廳/2衛,2 /共12層,56.66,9.98,--,--萬,5.9萬,336萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10412(實價),住宅大樓,嘉義市嘉義市永安街331~360號,11.2,3房/1廳/2衛,12 /共12層,56.66,9.98,--,--萬,5.9萬,336萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10412(實價),住宅大樓,嘉義市嘉義市永安街331~360號,11.2,3房/1廳/2衛,1 /共12層,56.85,10.06,--,--萬,6萬,338萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
