年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10412(實價),透天厝,嘉義市嘉義市文化路566巷71弄1~30號,41,2房/2廳/2衛,1 /共2層,23.35,16.64,--,--萬,6.6萬,155萬,600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741,文化里
10412(實價),透天厝,嘉義市嘉義市王田里11鄰大同新村61~90號,45.5,3房/2廳/2衛,1 /共2層,40.63,72,--,--萬,24.6萬,1000萬,找不到位址,無,無,無
10412(實價),公寓,嘉義市嘉義市仁義新村31~60號,33.6,3房/2廳/1衛,5 /共5層,24.18,12.9,--,--萬,6.2萬,150萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10412(實價),透天厝,嘉義市嘉義市過溪151~180號,37.9,3房/2廳/2衛,1 /共2層,27.17,19.66,--,--萬,11萬,298萬,600台灣嘉義市東區過溪41號,23.4510989,120.4557372,興村里
10412(實價),住宅大樓,嘉義市嘉義市民權路1~30號,17.7,4房/2廳/3衛,13 /共16層,60.71,9.99,--,--萬,11.9萬,722萬,600台灣嘉義市東區民權路10-1號,23.484367,120.465974,王田里
10412(實價),透天厝,嘉義市嘉義市博愛路二段91~120號,39.5,4房/2廳/3衛,1 /共3層,55.45,27.83,--,--萬,15.9萬,880萬,600台灣嘉義市西區博愛路二段84號,23.4826843,120.4402537,後驛里
10412(實價),透天厝,嘉義市嘉義市後厝仔1~30號,32.3,5房/3廳/2衛,1 /共2層,30.06,26.62,--,--萬,14萬,420萬,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
10412(實價),透天厝,嘉義市嘉義市大孝街1~30號,4.1,4房/2廳/4衛,1 /共3層,59.44,37.41,--,--萬,18萬,1070萬,600台灣嘉義市西區大孝街5號,23.4653675,120.4177087,劉厝里
10412(實價),透天厝,嘉義市嘉義市立仁路121~150號,12.4,4房/3廳/3衛,1 /共4層,44.06,23.29,--,--萬,20.9萬,920萬,600台灣嘉義市東區立仁路120號,23.464948,120.463572,芳安里
10412(實價),華廈,嘉義市嘉義市泰瑞一街31~60號,20.5,3房/1廳/2衛,7 /共7層,42.86,7.18,--,--萬,8.4萬,360萬,600台灣嘉義市西區泰瑞一街33號,23.4836569,120.4263621,福安里
10412(實價),透天厝,嘉義市嘉義市忠孝北街151~180號,8.6,4房/3廳/3衛,1 /共3層,45.74,25.41,--,--萬,14萬,640萬,600台灣嘉義市東區忠孝北街180號,23.5164125,120.4441171,荖藤里
10412(實價),華廈,嘉義市嘉義市林森東路105巷1~30號,22.3,3房/2廳/2衛,3 /共6層,39.12,9.21,--,--萬,9.8萬,385萬,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
10412(實價),透天厝,嘉義市嘉義市東義路99巷1~30號,30.6,5房/2廳/4衛,1 /共2層,41.14,30.55,--,--萬,17萬,700萬,600台灣嘉義市東區東義路99巷1號,23.4943431,120.4691521,後庄里
10412(實價),透天厝,嘉義市嘉義市新西里9鄰老吸街43巷1~30號,45.7,2房/1廳/1衛,1 /共1層,14.86,18.76,--,--萬,13.1萬,195萬,600台灣嘉義市西區老吸街43巷1號,23.4716582,120.4363649,新西里
10412(實價),透天厝,嘉義市嘉義市大雅路一段288巷116弄1~30號,2.2,4房/3廳/4衛,1 /共3層,71.46,41.86,--,--萬,16.2萬,1156萬,600台灣嘉義市東區大雅路一段1號,23.479947,120.503839,盧厝里
10412(實價),透天厝,嘉義市嘉義市玉山路571~600號,1.7,3房/4廳/4衛,1 /共5層,74.35,34.76,--,--萬,22.9萬,1700萬,600台灣嘉義市西區玉山路579號,23.4698007,120.416207,劉厝里
10412(實價),透天厝,嘉義市嘉義市民生南路576巷1~30號,41,4房/2廳/2衛,1 /共2層,31.94,26.62,--,--萬,5.8萬,185萬,600台灣嘉義市西區民生南路850巷1弄30號,23.4545835,120.4393273,湖內里
10412(實價),透天厝,嘉義市嘉義市芳安路217巷1~30號,41.7,3房/2廳/2衛,1 /共2層,31.72,29.95,--,--萬,13.1萬,415萬,600台灣嘉義市東區芳安路1號,23.4688333,120.4654,芳草里
10412(實價),透天厝,嘉義市嘉義市玉山路186巷66弄1~30號,8.2,2房/1廳/1衛,1 /共1層,8.35,22.08,--,--萬,26.4萬,220萬,600台灣嘉義市西區玉山路1號,23.473261,120.4319371,磚瑤里
10412(實價),透天厝,嘉義市嘉義市臺斗街271~300號,3.9,5房/3廳/6衛,1 /共4層,60.12,32.59,--,--萬,19.5萬,1170萬,600台灣嘉義市東區台斗街263-53號,23.4962573,120.4510932,中庄里
10412(實價),住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,12.8,3房/2廳/2衛,7 /共13層,50.96,12.61,--,--萬,9萬,460萬,600台灣嘉義市東區林森東路750號,23.4923366,120.4778693,圳頭里
10412(實價),住宅大樓,嘉義市嘉義市圓福街118巷2弄121~150號,22.6,3房/2廳/2衛,3 /共15層,33.12,5.48,--,--萬,8萬,264萬,600台灣嘉義市東區圓福街118巷2弄108號,23.488141,120.467014,王田里
10412(實價),透天厝,嘉義市嘉義市大業街172巷1~30號,26.1,4房/2廳/2衛,1 /共3層,62.56,37.81,--,--萬,12.8萬,800萬,600台灣嘉義市東區大業街172巷9號,23.4623307,120.4517988,安業里
10412(實價),透天厝,嘉義市嘉義市世賢路四段22巷1~30號,35.4,4房/1廳/2衛,1 /共2層,31.56,24.2,--,--萬,4.8萬,150萬,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
10412(實價),透天厝,嘉義市嘉義市文化路857巷1~30號,39.8,3房/1廳/2衛,1 /共2層,15.13,9.87,--,--萬,3萬,45萬,600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741,文化里
10412(實價),華廈(含車位),嘉義市嘉義市廣州街91~120號,25.1,3房/2廳/2衛,3 /共7層,54.04,7.4,--,30萬,7萬,380萬,600台灣嘉義市西區廣州街120號,23.4627158,120.4331098,福民里
10412(實價),透天厝,嘉義市嘉義市東洋新?391~420號,10.3,5房/3廳/4衛,1 /共5層,76.3,28.68,--,--萬,15.7萬,1200萬,600台灣嘉義市東區文雅街,23.4837986,120.487306,文雅里
10412(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.5,4房/1廳/5衛,1 /共3層,56.84,29.65,--,--萬,21.1萬,1200萬,600台灣嘉義市東區義教街731巷60號,23.4965168,120.4542076,義教里
10412(實價),透天厝,嘉義市嘉義市新民路204巷1~30號,14.6,5房/2廳/4衛,1 /共4層,119.81,66.87,--,--萬,10萬,1200萬,600台灣嘉義市西區新民路464-1號,23.4610542,120.4409805,光路里
10412(實價),透天厝,嘉義市嘉義市光彩街601~630號,37.5,4房/2廳/4衛,1 /共4層,51.22,14.82,--,--萬,16.1萬,825萬,600台灣嘉義市西區光彩街601號,23.4773698,120.441094,書院里
10412(實價),住宅大樓(含車位),嘉義市嘉義市新生路541~570號,20.3,2房/2廳/3衛,1 /共12層,95.82,13.13,3.78,--萬,7.6萬,725萬,600台灣嘉義市東區新生路570號,23.4921492,120.4581558,太平里
10412(實價),公寓,嘉義市嘉義市嘉農新村31~60號,30,3房/2廳/2衛,1 /共4層,35.67,18.28,--,--萬,12.9萬,460萬,找不到位址,無,無,無
10412(實價),華廈,嘉義市嘉義市臺林街31~60號,25.2,5房/1廳/3衛,4 /共7層,39.91,7.59,--,--萬,7.3萬,290萬,找不到位址,無,無,無
10412(實價),住宅大樓,嘉義市嘉義市興達路481~510號,21.1,4房/2廳/4衛,16 /共16層,53.74,5.58,--,--萬,7.8萬,420萬,600台灣嘉義市西區興達路480號,23.484986,120.431949,竹圍里
