年月,房屋類型,地址,屋齡(年),格局,出售樓層/ 總樓層,建物坪數,土地坪數,車位坪數,每坪單價,成交總價
10412(實價),透天厝,嘉義市嘉義市文雅街331~360號,12,5房/2廳/4衛,1 /共4層,55.77,27.23,--,17.8萬,990萬
10412(實價),純土地,下路頭段841~870地號,--,0房/0廳/0衛,0 /共0層,--,16.94,--,6.5萬,110萬
10412(實價),透天厝,嘉義市嘉義市保安二路91~120號,5.1,4房/3廳/4衛,1 /共4層,62.33,19.97,--,23.3萬,1450萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,34.28,--,12萬,410萬
10412(實價),住宅大樓,嘉義市嘉義市保建街31~60號,22.5,3房/2廳/3衛,8 /共12層,36.81,6.2,--,9.8萬,360萬
10412(實價),套房,嘉義市嘉義市文雅街116巷1~30號,19.5,1房/1廳/1衛,4 /共9層,10.3,1.48,--,7.8萬,80萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市四維路91~120號,16.8,3房/2廳/2衛,3 /共13層,37.45,4.27,2.99,9.4萬,353萬
10412(實價),華廈,嘉義市嘉義市永福一街31~60號,24.7,3房/1廳/1衛,8 /共8層,31.96,4.54,--,6.9萬,220萬
10412(實價),透天厝,嘉義市嘉義市國華新村1~30號,46.8,3房/2廳/2衛,1 /共2層,25.32,21.78,--,8.7萬,220萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.8,4房/2廳/2衛,2 /共22層,54.92,5.6,--,8.1萬,445萬
10412(實價),透天厝,嘉義市嘉義市博愛路二段991~1020號,3.2,5房/3廳/5衛,1 /共4層,70.83,43.83,--,19.8萬,1400萬
10412(實價),公寓,嘉義市嘉義市民生南路608巷151~180號,30.3,2房/2廳/1衛,3 /共5層,26.2,6.21,--,6.7萬,175萬
10412(實價),透天厝,嘉義市嘉義市興安街145巷1~30號,0.7,3房/2廳/3衛,1 /共3層,65.82,36.88,--,12.5萬,825萬
10412(實價),店面(店鋪),嘉義市嘉義市國華街331~360號,42.4,3房/1廳/2衛,1 /共2層,38.93,38.72,--,19.8萬,770萬
10412(實價),住宅大樓,嘉義市嘉義市玉山路158巷91~120號,20.4,3房/2廳/2衛,8 /共12層,37.1,4.59,--,8.9萬,330萬
10412(實價),住宅大樓,嘉義市嘉義市博東路91~120號,17.8,2房/1廳/1衛,14 /共22層,24.07,2.19,--,10.2萬,244萬
10412(實價),透天厝,嘉義市嘉義市保愛二街31~60號,0.5,3房/3廳/4衛,1 /共3層,58.78,36.4,--,14.1萬,828萬
10412(實價),透天厝,嘉義市嘉義市信義路55巷1~30號,29.5,4房/3廳/2衛,1 /共2層,31.81,21.48,--,17.6萬,560萬
10412(實價),純土地,下埤段1321~1350地號,--,0房/0廳/0衛,0 /共0層,--,878.26,--,0.9萬,790萬
10412(實價),透天厝,嘉義市嘉義市新龍街2巷1~30號,6.8,3房/2廳/4衛,1 /共4層,62.45,31.01,--,15萬,938萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,3.93,--,5.1萬,20萬
10412(實價),透天厝,嘉義市嘉義市水源地31~60號,22.2,4房/2廳/3衛,1 /共3層,52.6,57.02,--,15.2萬,800萬
10412(實價),透天厝,嘉義市嘉義市五福街20巷25弄31~60號,38.7,4房/2廳/3衛,1 /共2層,26.31,18.15,--,22萬,580萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市永安街331~360號,11.2,4房/2廳/2衛,2 /共12層,56.66,9.98,--,8.1萬,460萬
10412(實價),透天厝,嘉義市嘉義市玉康路12巷1~30號,21.2,4房/3廳/3衛,1 /共3層,47.42,26.02,--,14.1萬,670萬
10412(實價),純土地,荖藤段241~270地號,--,0房/0廳/0衛,0 /共0層,--,144.6,--,2萬,289萬
10412(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,20.2,1房/1廳/1衛,9 /共11層,10.74,1.69,--,11.6萬,125萬
10412(實價),透天厝,嘉義市嘉義市東義路176巷1~30號,26.4,5房/3廳/2衛,1 /共2層,41.29,31.73,--,14.9萬,617萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,3.03,--,6.6萬,20萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,2.72,--,7.3萬,20萬
10412(實價),套房,嘉義市嘉義市林森西路1~30號,31.9,1房/0廳/1衛,9 /共12層,11.9,1.21,--,7.1萬,85萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市永安街301~330號,11.2,4房/1廳/2衛,10 /共14層,25.69,4.5,--,8萬,206萬
10412(實價),透天厝,嘉義市嘉義市姜安街61~90號,0.4,5房/3廳/5衛,1 /共3層,69.51,35.7,--,24.9萬,1728萬
10412(實價),透天厝,嘉義市嘉義市北鎮街120巷1~30號,43.7,2房/2廳/1衛,1 /共1層,20.29,37.21,--,21.1萬,427萬
10412(實價),透天厝,嘉義市嘉義市大孝街1~30號,4.1,4房/2廳/4衛,1 /共3層,59.44,37.41,--,18萬,1070萬
10412(實價),透天厝,嘉義市嘉義市忠孝北街151~180號,8.6,4房/3廳/3衛,1 /共3層,45.74,25.41,--,14萬,640萬
10412(實價),透天厝,嘉義市嘉義市立仁路121~150號,12.4,4房/3廳/3衛,1 /共4層,44.06,23.29,--,20.9萬,920萬
10412(實價),華廈,嘉義市嘉義市泰瑞一街31~60號,20.5,3房/1廳/2衛,7 /共7層,42.86,7.18,--,8.4萬,360萬
10412(實價),透天厝,嘉義市嘉義市過溪151~180號,37.9,3房/2廳/2衛,1 /共2層,27.17,19.66,--,11萬,298萬
10412(實價),透天厝,嘉義市嘉義市博愛路二段91~120號,39.5,4房/2廳/3衛,1 /共3層,55.45,27.83,--,15.9萬,880萬
10412(實價),透天厝,嘉義市嘉義市王田里11鄰大同新村61~90號,45.5,3房/2廳/2衛,1 /共2層,40.63,72,--,24.6萬,1000萬
10412(實價),透天厝,嘉義市嘉義市文化路566巷71弄1~30號,41,2房/2廳/2衛,1 /共2層,23.35,16.64,--,6.6萬,155萬
10412(實價),公寓,嘉義市嘉義市仁義新村31~60號,33.6,3房/2廳/1衛,5 /共5層,24.18,12.9,--,6.2萬,150萬
10412(實價),住宅大樓,嘉義市嘉義市民權路1~30號,17.7,4房/2廳/3衛,13 /共16層,60.71,9.99,--,11.9萬,722萬
10412(實價),純土地,下路頭段451~480地號,--,0房/0廳/0衛,0 /共0層,--,19.97,--,10萬,199萬
10412(實價),透天厝,嘉義市嘉義市新西里9鄰老吸街43巷1~30號,45.7,2房/1廳/1衛,1 /共1層,14.86,18.76,--,13.1萬,195萬
10412(實價),華廈,嘉義市嘉義市林森東路105巷1~30號,22.3,3房/2廳/2衛,3 /共6層,39.12,9.21,--,9.8萬,385萬
10412(實價),透天厝,嘉義市嘉義市大雅路一段288巷116弄1~30號,2.2,4房/3廳/4衛,1 /共3層,71.46,41.86,--,16.2萬,1156萬
10412(實價),透天厝,嘉義市嘉義市臺斗街271~300號,3.9,5房/3廳/6衛,1 /共4層,60.12,32.59,--,19.5萬,1170萬
10412(實價),純土地,崎頂段301~330地號,--,0房/0廳/0衛,0 /共0層,--,349.69,--,1.7萬,590萬
10412(實價),純土地,劉厝段玉山小段181~210地號,--,0房/0廳/0衛,0 /共0層,--,108.11,--,8.8萬,950萬
10412(實價),透天厝,嘉義市嘉義市後厝仔1~30號,32.3,5房/3廳/2衛,1 /共2層,30.06,26.62,--,14萬,420萬
10412(實價),透天厝,嘉義市嘉義市東義路99巷1~30號,30.6,5房/2廳/4衛,1 /共2層,41.14,30.55,--,17萬,700萬
10412(實價),透天厝,嘉義市嘉義市民生南路576巷1~30號,41,4房/2廳/2衛,1 /共2層,31.94,26.62,--,5.8萬,185萬
10412(實價),透天厝,嘉義市嘉義市芳安路217巷1~30號,41.7,3房/2廳/2衛,1 /共2層,31.72,29.95,--,13.1萬,415萬
10412(實價),透天厝,嘉義市嘉義市玉山路571~600號,1.7,3房/4廳/4衛,1 /共5層,74.35,34.76,--,22.9萬,1700萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,12.8,3房/2廳/2衛,7 /共13層,50.96,12.61,--,9萬,460萬
10412(實價),透天厝,嘉義市嘉義市玉山路186巷66弄1~30號,8.2,2房/1廳/1衛,1 /共1層,8.35,22.08,--,26.4萬,220萬
10412(實價),透天厝,嘉義市嘉義市東洋新?391~420號,10.3,5房/3廳/4衛,1 /共5層,76.3,28.68,--,15.7萬,1200萬
10412(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.5,4房/1廳/5衛,1 /共3層,56.84,29.65,--,21.1萬,1200萬
10412(實價),透天厝,嘉義市嘉義市大業街172巷1~30號,26.1,4房/2廳/2衛,1 /共3層,62.56,37.81,--,12.8萬,800萬
10412(實價),華廈(含車位),嘉義市嘉義市廣州街91~120號,25.1,3房/2廳/2衛,3 /共7層,54.04,7.4,--,7萬,380萬
10412(實價),透天厝,嘉義市嘉義市文化路857巷1~30號,39.8,3房/1廳/2衛,1 /共2層,15.13,9.87,--,3萬,45萬
10412(實價),住宅大樓,嘉義市嘉義市圓福街118巷2弄121~150號,22.6,3房/2廳/2衛,3 /共15層,33.12,5.48,--,8萬,264萬
10412(實價),透天厝,嘉義市嘉義市新民路204巷1~30號,14.6,5房/2廳/4衛,1 /共4層,119.81,66.87,--,10萬,1200萬
10412(實價),純土地,新厝段271~300地號,--,0房/0廳/0衛,0 /共0層,--,781.96,--,1.8萬,1400萬
10412(實價),透天厝,嘉義市嘉義市光彩街601~630號,37.5,4房/2廳/4衛,1 /共4層,51.22,14.82,--,16.1萬,825萬
10412(實價),透天厝,嘉義市嘉義市世賢路四段22巷1~30號,35.4,4房/1廳/2衛,1 /共2層,31.56,24.2,--,4.8萬,150萬
10412(實價),純土地,育人段1021~1050地號,--,0房/0廳/0衛,0 /共0層,--,20.61,--,5.7萬,117萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市新生路541~570號,20.3,2房/2廳/3衛,1 /共12層,95.82,13.13,3.78,7.6萬,725萬
10412(實價),公寓,嘉義市嘉義市嘉農新村31~60號,30,3房/2廳/2衛,1 /共4層,35.67,18.28,--,12.9萬,460萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市新生路571~600號,20.3,3房/2廳/2衛,6 /共12層,32.18,4.38,--,14.3萬,460萬
10412(實價),華廈,嘉義市嘉義市臺林街31~60號,25.2,5房/1廳/3衛,4 /共7層,39.91,7.59,--,7.3萬,290萬
10412(實價),純土地,下路頭段481~510地號,--,0房/0廳/0衛,0 /共0層,--,8.36,--,3.7萬,30萬
10412(實價),公寓,嘉義市嘉義市海埔新村1~30號,32.8,4房/1廳/1衛,1 /共5層,33.84,13.75,--,10.3萬,350萬
10412(實價),住宅大樓,嘉義市嘉義市興達路481~510號,21.1,4房/2廳/4衛,16 /共16層,53.74,5.58,--,7.8萬,420萬
10412(實價),華廈,嘉義市嘉義市南興路241~270號,34.8,3房/2廳/2衛,1 /共6層,34.95,9.02,--,10.5萬,368萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市德福街1~30號,21.1,3房/2廳/2衛,6 /共11層,39.56,5.94,--,9萬,355萬
10412(實價),華廈,嘉義市嘉義市北港路241~270號,21.5,3房/2廳/2衛,8 /共10層,33.52,5.27,--,8.9萬,298萬
10412(實價),透天厝,嘉義市嘉義市國華街91~120號,20.5,4房/2廳/4衛,1 /共4層,23.91,9.68,--,30.5萬,730萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,17.55,--,13.1萬,229萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,24.81,--,10.9萬,269萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,6.96,--,13.1萬,90萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,21.78,--,10.9萬,236萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,60.5,--,10.9萬,658萬
10412(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,37.51,--,13.1萬,489萬
10412(實價),透天厝,嘉義市嘉義市康樂街181~210號,40.3,3房/1廳/3衛,1 /共3層,48.34,18.15,--,7.6萬,365萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,12.8,4房/2廳/2衛,8 /共13層,52.97,13.11,--,10.4萬,550萬
10412(實價),套房,嘉義市嘉義市文雅街116巷1~30號,19.5,1房/1廳/1衛,5 /共9層,10.3,1.48,--,9.7萬,100萬
10412(實價),華廈(含車位),嘉義市嘉義市永康三街1~30號,23.8,4房/2廳/3衛,1 /共6層,55.92,11.74,--,5.9萬,330萬
10412(實價),華廈,嘉義市嘉義市八德路331~360號,22.1,4房/2廳/2衛,1 /共8層,48.27,8.55,--,8.7萬,420萬
10412(實價),住宅大樓,嘉義市嘉義市圓福街118巷2弄121~150號,22.6,3房/2廳/2衛,8 /共15層,38.3,6.4,--,11.4萬,435萬
10412(實價),純土地,下路頭段241~270地號,--,0房/0廳/0衛,0 /共0層,--,13.31,--,18萬,240萬
10412(實價),純土地,竹圍子段241~270地號,--,0房/0廳/0衛,0 /共0層,--,22.08,--,14.3萬,315萬
10412(實價),純土地,短竹段211~240地號,--,0房/0廳/0衛,0 /共0層,--,63.83,--,9.9萬,630萬
10412(實價),純土地,竹圍子段121~150地號,--,0房/0廳/0衛,0 /共0層,--,95.89,--,34.6萬,3317萬
10412(實價),透天厝,嘉義市嘉義市東洋新?61~90號,35.5,5房/3廳/4衛,1 /共3層,40.9,21.78,--,13.7萬,560萬
