年月,房屋類型,地址,屋齡(年),格局,出售樓層/ 總樓層,建物坪數,土地坪數,車位坪數,每坪單價,成交總價
10410(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,62.62,--,10.5萬,657萬
10410(實價),透天厝,嘉義市嘉義市小雅路513巷31~60號,38.3,4房/2廳/2衛,1 /共2層,59.47,77.74,--,34萬,2020萬
10410(實價),華廈,嘉義市嘉義市遠東街151~180號,22.4,3房/2廳/2衛,8 /共9層,34.79,3.71,--,5.7萬,200萬
10410(實價),住宅大樓,嘉義市嘉義市國賢一街61~90號,23.3,3房/2廳/2衛,9 /共15層,42.57,4.1,--,10.2萬,435萬
10410(實價),華廈,嘉義市嘉義市中山路481~510號,32.2,2房/2廳/2衛,7 /共8層,55.99,7.83,--,11.6萬,650萬
10410(實價),純土地,何庄段901~930地號,--,0房/0廳/0衛,0 /共0層,--,152.4,--,5.5萬,836萬
10410(實價),透天厝,嘉義市嘉義市日新街113巷1~30號,1.6,7房/2廳/5衛,1 /共4層,121.81,49.91,--,19萬,2320萬
10410(實價),店面(店鋪),嘉義市嘉義市國聖一街31~60號,33.4,3房/2廳/3衛,1 /共2層,30.14,24.5,--,19.2萬,580萬
10410(實價),透天厝,嘉義市嘉義市林森東路451~480號,27.8,5房/3廳/5衛,1 /共3層,36.12,19.97,--,7萬,252萬
10410(實價),純土地,下路頭段331~360地號,--,0房/0廳/0衛,0 /共0層,--,3.82,--,12萬,45萬
10410(實價),透天厝,嘉義市嘉義市北榮街121~150號,21.9,6房/1廳/4衛,1 /共5層,65.33,13.92,--,13.7萬,895萬
10410(實價),透天厝,嘉義市嘉義市建成街22巷1~30號,39.1,4房/2廳/3衛,1 /共3層,36.27,18.76,--,11.9萬,433萬
10410(實價),公寓,嘉義市嘉義市林森東路269巷38弄1~30號,23,3房/2廳/2衛,5 /共5層,41.51,13.29,--,6萬,250萬
10410(實價),住宅大樓,嘉義市嘉義市彌陀路151~180號,19.6,2房/2廳/2衛,1 /共20層,49.72,4.28,--,9.9萬,490萬
10410(實價),住宅大樓,嘉義市嘉義市德明路61~90號,20.2,3房/2廳/2衛,16 /共19層,38.67,3.14,--,9.1萬,350萬
10410(實價),純土地,下路頭段721~750地號,--,0房/0廳/0衛,0 /共0層,--,1.41,--,19.3萬,27萬
10410(實價),華廈,嘉義市嘉義市永福一街31~60號,24.5,3房/2廳/2衛,2 /共8層,39.28,5.34,--,7.1萬,280萬
10410(實價),純土地,埤子頭段391~420地號,--,0房/0廳/0衛,0 /共0層,--,3.5,--,21.4萬,75萬
10410(實價),純土地,育人段811~840地號,--,0房/0廳/0衛,0 /共0層,--,35.47,--,7萬,248萬
10410(實價),華廈(含車位),嘉義市嘉義市泰山三街31~60號,22.3,3房/2廳/2衛,5 /共7層,37.03,6.79,--,8.2萬,303萬
10410(實價),公寓,嘉義市嘉義市民生南路608巷151~180號,30.1,3房/2廳/2衛,3 /共5層,26.2,6.21,--,7.9萬,208萬
10410(實價),華廈,嘉義市嘉義市青年街121~150號,23.1,2房/1廳/1衛,8 /共9層,26.67,4.82,--,6萬,160萬
10410(實價),透天厝,嘉義市嘉義市民權路31~60號,0.6,6房/2廳/5衛,1 /共4層,105.21,54.45,--,33萬,3470萬
10410(實價),透天厝,嘉義市嘉義市軍輝路114巷1~30號,31.9,3房/2廳/2衛,1 /共2層,29.5,22.69,--,13.1萬,385萬
10410(實價),純土地,玉川段61~90地號,--,0房/0廳/0衛,0 /共0層,--,22.39,--,8.9萬,200萬
10410(實價),純土地,山下段1~30地號,--,0房/0廳/0衛,0 /共0層,--,13.92,--,15.5萬,215萬
10410(實價),住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,12.6,3房/2廳/2衛,4 /共14層,53.27,13.18,--,7.9萬,420萬
10410(實價),住宅大樓,嘉義市嘉義市德明路61~90號,20.2,3房/2廳/2衛,13 /共19層,36.5,2.89,--,8.6萬,315萬
10410(實價),純土地,榮段二小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,25.11,--,54.8萬,1375萬
10410(實價),公寓,嘉義市嘉義市博愛路一段492巷1~30號,27.3,3房/1廳/1衛,5 /共5層,33.2,9.05,--,6.9萬,230萬
10410(實價),華廈,嘉義市嘉義市市新生路631~660號,22.1,3房/1廳/2衛,6 /共7層,28.4,5.01,--,9.9萬,280萬
10410(實價),透天厝,嘉義市嘉義市荖藤里4鄰後厝仔1~30號,32.2,3房/2廳/3衛,1 /共2層,30.06,24.81,--,6.7萬,200萬
10410(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,20,4房/2廳/2衛,10 /共11層,26.73,4.24,--,8.3萬,221萬
10410(實價),透天厝,嘉義市嘉義市大溪路465巷31~60號,9.8,4房/3廳/3衛,1 /共3層,45.35,33.21,--,13.2萬,600萬
10410(實價),透天厝,嘉義市嘉義市新生路386巷1~30號,38.4,4房/3廳/2衛,1 /共2層,35.31,31.16,--,17.8萬,630萬
10410(實價),透天厝,嘉義市嘉義市光正街31~60號,43.5,1房/1廳/1衛,1 /共1層,15.26,33.58,--,14.7萬,224萬
10410(實價),透天厝,嘉義市嘉義市育英里20鄰國華街31~60號,43.5,4房/2廳/4衛,1 /共2層,21.89,17.7,--,10萬,220萬
10410(實價),透天厝,嘉義市嘉義市杭州四街61~90號,30.7,4房/3廳/4衛,1 /共2層,40.27,38.8,--,16.9萬,680萬
10410(實價),透天厝,嘉義市嘉義市永樂四街1~30號,1.8,4房/2廳/5衛,1 /共4層,71.27,38.42,--,26.1萬,1858萬
10410(實價),華廈(含車位),嘉義市嘉義市自強街195巷31~60號,20,3房/2廳/2衛,5 /共7層,36.24,6.57,--,10.8萬,390萬
10410(實價),住宅大樓,嘉義市嘉義市友愛路481~510號,15.9,3房/1廳/2衛,8 /共12層,30.93,3.48,--,11.6萬,358萬
10410(實價),透天厝,嘉義市嘉義市文華街67巷1~30號,57.7,3房/2廳/1衛,1 /共1層,32.3,124.33,--,28.8萬,930萬
10410(實價),店面(店鋪),嘉義市嘉義市嘉北街66巷1~30號,25,2房/1廳/2衛,1 /共7層,50.26,11.8,--,9.4萬,470萬
10410(實價),住宅大樓,嘉義市嘉義市德明路61~90號,20.2,2房/2廳/1衛,14 /共18層,25.08,1.88,--,8萬,200萬
10410(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17.6,3房/1廳/2衛,10 /共22層,36.28,4.38,--,10萬,363萬
10410(實價),純土地,東川段1111~1140地號,--,0房/0廳/0衛,0 /共0層,--,58.69,--,37.5萬,2200萬
10410(實價),純土地,北門段五小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,72,--,13萬,936萬
10410(實價),純土地,玉川段61~90地號,--,0房/0廳/0衛,0 /共0層,--,17.7,--,8.2萬,145萬
10410(實價),透天厝(含車位),嘉義市嘉義市永福一街1~30號,20.8,3房/2廳/2衛,1 /共13層,41.54,4.94,--,8.2萬,340萬
10410(實價),純土地,車店段車店小段151~180地號,--,0房/0廳/0衛,0 /共0層,--,64.13,--,24.8萬,1591萬
10410(實價),純土地,車店段車店小段151~180地號,--,0房/0廳/0衛,0 /共0層,--,47.49,--,24.8萬,1178萬
10410(實價),透天厝,嘉義市嘉義市上海路241~270號,22,4房/2廳/3衛,1 /共4層,80.01,29.04,--,16.3萬,1308萬
10410(實價),純土地,山下段121~150地號,--,0房/0廳/0衛,0 /共0層,--,12.71,--,6萬,76萬
10410(實價),店面(店鋪),嘉義市嘉義市世賢路四段421~450號,1.5,4房/2廳/5衛,1 /共5層,72.75,33.39,--,17.6萬,1280萬
10410(實價),華廈,嘉義市嘉義市圓福街1~30號,23.2,2房/1廳/2衛,1 /共10層,18.33,3.88,--,13.9萬,255萬
10410(實價),住宅大樓,嘉義市嘉義市興達路481~510號,20.9,3房/2廳/2衛,14 /共16層,38.21,3.72,--,8.1萬,310萬
10410(實價),住宅大樓,嘉義市嘉義市興達路481~510號,20.9,2房/2廳/1衛,14 /共16層,38.26,3.85,--,8.3萬,316萬
10410(實價),純土地,竹圍子段121~150地號,--,0房/0廳/0衛,0 /共0層,--,100.61,--,2.9萬,293萬
10410(實價),透天厝,嘉義市嘉義市永吉三街31~60號,1,6房/3廳/5衛,1 /共3層,62.23,48.7,--,16.9萬,1050萬
10410(實價),住宅大樓,嘉義市嘉義市友愛路541~570號,20.3,1房/0廳/1衛,10 /共14層,5.96,0.7,--,10.1萬,60萬
10410(實價),純土地,彌陀段691~720地號,--,0房/0廳/0衛,0 /共0層,--,41.44,--,3.1萬,130萬
10410(實價),華廈,嘉義市嘉義市嘉北街97巷18弄1~30號,22.9,2房/1廳/1衛,2 /共7層,23.68,4.58,--,6.8萬,160萬
10410(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.6,3房/1廳/2衛,9 /共22層,44.92,4.38,9.23,8.7萬,390萬
10410(實價),公寓,嘉義市嘉義市東洋新?481~510號,32.3,2房/1廳/1衛,4 /共5層,20.3,6.59,--,7.4萬,150萬
10410(實價),透天厝,嘉義市嘉義市溪興街231巷24弄121~150號,26,3房/2廳/2衛,1 /共3層,61.14,40.54,--,7.5萬,460萬
10410(實價),住宅大樓,嘉義市嘉義市博東路91~120號,17.6,2房/1廳/1衛,15 /共22層,24.07,2.92,--,9.6萬,232萬
10410(實價),華廈,嘉義市嘉義市西區永吉一街61~90號,20.7,3房/2廳/2衛,6 /共7層,38.07,6.62,--,7.7萬,295萬
10410(實價),公寓,嘉義市嘉義市溪興街153巷30弄31~60號,31,2房/2廳/1衛,5 /共5層,18.51,5.56,--,8.1萬,150萬
10410(實價),透天厝,嘉義市嘉義市國華街16巷31~60號,46.5,5房/1廳/3衛,1 /共2層,22.31,14.82,--,22.2萬,495萬
10410(實價),透天厝,嘉義市嘉義市公明路151~180號,40.7,3房/2廳/2衛,1 /共3層,43.29,50.22,--,44.8萬,1940萬
10410(實價),辦公商業大樓,嘉義市嘉義市垂楊路31~60號,16.6,1房/1廳/2衛,5 /共7層,83.31,14.86,--,9萬,746萬
10410(實價),套房,嘉義市嘉義市文雅街121~150號,19.3,1房/1廳/1衛,4 /共9層,15.72,2.47,--,8.3萬,130萬
10410(實價),純土地,北湖段421~450地號,--,0房/0廳/0衛,0 /共0層,--,5.82,--,8.5萬,49萬
10410(實價),住宅大樓,嘉義市嘉義市永安街301~330號,11,3房/1廳/2衛,14 /共14層,60.24,10.55,--,9.6萬,580萬
10410(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.3,4房/2廳/5衛,1 /共3層,62.15,27.83,--,20.9萬,1300萬
10410(實價),店面(店鋪),嘉義市嘉義市博愛路二段721~750號,3.9,6房/2廳/3衛,1 /共4層,65.65,31.33,--,25.9萬,1700萬
10410(實價),透天厝,嘉義市嘉義市永安街390巷1~30號,43,2房/1廳/2衛,1 /共2層,20.23,17.55,--,17.8萬,360萬
10410(實價),純土地,埤子頭段391~420地號,--,0房/0廳/0衛,0 /共0層,--,13.31,--,3.4萬,45萬
10410(實價),透天厝,嘉義市嘉義市重慶六街120巷1~30號,38.6,3房/2廳/2衛,1 /共1層,21.97,55.66,--,7.5萬,165萬
10410(實價),透天厝,嘉義市嘉義市新民路416巷40弄1~30號,31.8,3房/1廳/2衛,1 /共2層,30.34,29.65,--,5.8萬,177萬
10410(實價),純土地,車店段421~450地號,--,0房/0廳/0衛,0 /共0層,--,9.98,--,7萬,70萬
10410(實價),純土地,盧厝段181~210地號,--,0房/0廳/0衛,0 /共0層,--,665.5,--,8.8萬,5856萬
10410(實價),透天厝,嘉義市嘉義市林森東路691巷91~120號,37.4,3房/2廳/2衛,1 /共1層,27.1,74.11,--,21萬,570萬
10410(實價),華廈,嘉義市嘉義市永康二街1~30號,23.4,2房/1廳/1衛,4 /共7層,28.4,4.86,--,7.6萬,215萬
10410(實價),華廈,嘉義市嘉義市文雅街116巷1~30號,19.3,3房/2廳/2衛,7 /共9層,30.31,4.93,--,12.1萬,368萬
10410(實價),華廈,嘉義市嘉義市民生北路1~30號,35.8,2房/1廳/1衛,10 /共10層,24.1,1.82,--,8.9萬,215萬
10410(實價),華廈,嘉義市嘉義市永康三街31~60號,22.2,2房/2廳/1衛,4 /共6層,26.62,5.73,--,9.1萬,242萬
10410(實價),透天厝,嘉義市嘉義市自強街103巷31~60號,12.8,4房/3廳/4衛,1 /共3層,56.39,28.76,--,12.7萬,715萬
10410(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.3,3房/1廳/2衛,6 /共16層,35.28,4.21,--,6萬,210萬
10410(實價),套房,嘉義市嘉義市小雅路181~210號,22.3,1房/0廳/1衛,9 /共16層,16.84,2.02,--,5.7萬,96萬
10410(實價),純土地,玉川段91~120地號,--,0房/0廳/0衛,0 /共0層,--,16.03,--,18.7萬,300萬
10410(實價),住宅大樓,嘉義市嘉義市八德路301~330號,20.9,3房/2廳/2衛,16 /共16層,34.21,3.63,--,9.4萬,322萬
10410(實價),透天厝,嘉義市嘉義市建成街67巷31~60號,43.3,2房/1廳/1衛,1 /共2層,21.17,18.15,--,11.8萬,250萬
10410(實價),純土地,南門段四小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,24.2,--,22.7萬,550萬
10410(實價),套房,嘉義市嘉義市福州五街1~30號,23.1,1房/1廳/1衛,3 /共7層,13.07,1.89,--,6.1萬,80萬
10410(實價),華廈(含車位),嘉義市嘉義市公明路361~390號,20.3,4房/1廳/2衛,3 /共8層,52.1,5.51,--,10.6萬,550萬
10410(實價),透天厝,嘉義市嘉義市立仁路42巷1~30號,0.9,0房/0廳/0衛,1 /共4層,57.04,26.34,--,16.5萬,940萬
10410(實價),純土地,埤子頭段331~360地號,--,0房/0廳/0衛,0 /共0層,--,20.57,--,20.4萬,420萬
10410(實價),華廈,嘉義市嘉義市雙竹街31~60號,21.9,4房/1廳/1衛,5 /共7層,35.11,6.86,--,6.8萬,240萬
10410(實價),套房,嘉義市嘉義市文雅街121~150號,19.3,1房/1廳/1衛,4 /共9層,12.28,1.97,--,9.1萬,112萬
10410(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.6,3房/2廳/2衛,19 /共22層,63.99,5.57,--,8.4萬,535萬
10410(實價),純車位(含車位),嘉義市嘉義市博東路91~120號,17.6,0房/0廳/0衛,#NAME?,9.23,0.02,--,0萬,50萬
10410(實價),透天厝,嘉義市嘉義市大雅路二段234巷1~30號,14,5房/2廳/3衛,1 /共4層,73.04,30.14,--,14.6萬,1065萬
10410(實價),住宅大樓,嘉義市嘉義市友愛路481~510號,15.9,2房/2廳/2衛,8 /共12層,28.77,3.34,--,8.7萬,250萬
10410(實價),公寓,嘉義市嘉義市仁義新村31~60號,33.4,3房/2廳/1衛,3 /共5層,25,12.9,--,9.8萬,245萬
10410(實價),透天厝,嘉義市嘉義市保安二路121~150號,35.9,3房/2廳/2衛,1 /共2層,37.57,28.74,--,21.6萬,810萬
10410(實價),住宅大樓,嘉義市嘉義市自由路481~510號,21.4,3房/2廳/2衛,9 /共16層,46.33,3.91,--,6萬,280萬
10410(實價),純土地,盧厝段271~300地號,--,0房/0廳/0衛,0 /共0層,--,319.46,--,2萬,649萬
10410(實價),住宅大樓,嘉義市嘉義市友愛路571~600號,21.8,3房/2廳/2衛,4 /共12層,34.91,4.42,--,7.2萬,250萬
10410(實價),純土地,北社尾段保安小段781~810地號,--,0房/0廳/0衛,0 /共0層,--,63.73,--,13萬,828萬
10410(實價),純土地,新厝段481~510地號,--,0房/0廳/0衛,0 /共0層,--,98.01,--,2.5萬,241萬
10410(實價),華廈,嘉義市嘉義市五福街61~90號,22.9,3房/2廳/2衛,4 /共7層,34.36,7.2,--,5.8萬,200萬
10410(實價),住宅大樓(含車位),嘉義市嘉義市仁愛路240巷1~30號,11,3房/2廳/2衛,14 /共14層,56.14,10.33,--,8.4萬,470萬
10410(實價),華廈(含車位),嘉義市嘉義市彌陀路238巷61~90號,25.7,3房/2廳/2衛,7 /共7層,50.8,8.81,--,7.9萬,400萬
10410(實價),住宅大樓,嘉義市嘉義市安樂街61~90號,15.8,3房/1廳/1衛,4 /共12層,44.03,6.75,--,8.6萬,380萬
10410(實價),華廈,嘉義市嘉義市青年街121~150號,23.1,2房/2廳/2衛,8 /共9層,26.8,4.31,--,10.1萬,270萬
10410(實價),純土地,埤子頭段新厝小段631~660地號,--,0房/0廳/0衛,0 /共0層,--,24.81,--,8萬,198萬
10410(實價),透天厝,嘉義市嘉義市安和街197巷1~30號,22.3,4房/2廳/4衛,1 /共4層,51.67,22.69,--,12萬,620萬
10410(實價),純土地,頂庄段391~420地號,--,0房/0廳/0衛,0 /共0層,--,87.95,--,6.8萬,600萬
10410(實價),透天厝,嘉義市嘉義市保安一路391~420號,24.8,6房/2廳/5衛,1 /共3層,54.28,29.34,--,14萬,760萬
10410(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,6.35,--,20萬,127萬
10410(實價),透天厝,嘉義市嘉義市南田路1~30號,44.2,3房/2廳/2衛,1 /共2層,24.34,12.4,--,15.2萬,370萬
10410(實價),套房,嘉義市嘉義市小雅路331~360號,22.3,1房/0廳/1衛,12 /共12層,8.4,1.06,--,6.1萬,51萬
10410(實價),華廈,嘉義市嘉義市世賢路四段350巷21弄31~60號,21.3,3房/2廳/2衛,4 /共10層,33.69,7.2,--,9.7萬,328萬
10410(實價),住宅大樓,嘉義市嘉義市保建街31~60號,22.3,2房/2廳/2衛,1 /共12層,24.52,4.55,--,10.2萬,250萬
10410(實價),華廈,嘉義市嘉義市長安街91~120號,22,3房/2廳/2衛,7 /共9層,36.24,6.46,--,8.3萬,300萬
10410(實價),純土地,下路頭段721~750地號,--,0房/0廳/0衛,0 /共0層,--,0.7,--,19.3萬,13萬
10410(實價),透天厝,嘉義市嘉義市大富一街31~60號,9.6,3房/3廳/2衛,1 /共4層,62.1,38.51,--,15萬,930萬
10410(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.3,2房/1廳/1衛,4 /共16層,30.45,3.64,--,5.3萬,160萬
10410(實價),華廈,嘉義市嘉義市嘉北街12巷1~30號,25,2房/1廳/1衛,4 /共7層,28.97,4.5,--,8.3萬,240萬
10410(實價),透天厝,嘉義市嘉義市國華街61~90號,8.2,4房/2廳/4衛,1 /共4層,73.15,28.13,--,20.5萬,1500萬
10410(實價),華廈,嘉義市嘉義市嘉北街12巷1~30號,25,3房/2廳/2衛,7 /共7層,54.02,7.61,--,7.8萬,424萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,4房/2廳/4衛,1 /共3層,53.87,32.73,--,17.9萬,965萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,4房/2廳/4衛,1 /共3層,53.87,32.73,--,17.8萬,960萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,4房/2廳/4衛,1 /共3層,50.42,30.92,--,17.2萬,869萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,5房/2廳/4衛,1 /共3層,72.25,42.41,--,17.1萬,1233萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,4房/2廳/4衛,1 /共3層,57.77,38.48,--,18.3萬,1055萬
10409(實價),透天厝,嘉義市嘉義市世賢路二段361~390號,0,4房/2廳/4衛,1 /共3層,51.41,31.22,--,17.7萬,908萬
10409(實價),透天厝,嘉義市嘉義市大利街151~180號,0,4房/3廳/5衛,1 /共4層,92.1,48.85,--,19萬,1750萬
10409(實價),住宅大樓,嘉義市嘉義市小雅路361~390號,22.3,2房/1廳/1衛,8 /共12層,27.28,3.48,--,8.1萬,220萬
10409(實價),純土地,北園段1051~1080地號,--,0房/0廳/0衛,0 /共0層,--,24.2,--,12.6萬,306萬
10409(實價),純土地,元段二小段151~180地號,--,0房/0廳/0衛,0 /共0層,--,12.4,--,24.2萬,300萬
10409(實價),透天厝,嘉義市嘉義市博東路136巷1~30號,8.6,4房/2廳/4衛,1 /共4層,73.97,34.84,--,18.3萬,1350萬
10409(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17.5,3房/2廳/2衛,9 /共22層,35.27,4.38,--,9.9萬,350萬
10409(實價),透天厝(含車位),嘉義市嘉義市永樂二街121~150號,0.6,6房/2廳/5衛,1 /共4層,123.18,65.34,11.34,24.5萬,3015萬
10409(實價),住宅大樓(含車位),嘉義市嘉義市德明路61~90號,20.1,3房/2廳/2衛,13 /共19層,42.35,3.77,--,9.2萬,389萬
10409(實價),華廈,嘉義市嘉義市蘭州一街151~180號,22.1,2房/2廳/2衛,1 /共7層,59.97,10.99,--,8.2萬,490萬
10409(實價),華廈,嘉義市嘉義市南興路199巷31~60號,20.1,3房/2廳/2衛,3 /共5層,35.46,8.23,--,7.9萬,280萬
10409(實價),華廈,嘉義市嘉義市市宅街31~60號,21.3,3房/1廳/1衛,6 /共7層,32.32,6.06,--,9.3萬,300萬
10409(實價),套房,嘉義市嘉義市中興路31~60號,27,1房/1廳/1衛,5 /共10層,13.31,1.37,--,8.3萬,110萬
10409(實價),套房,嘉義市嘉義市彌陀路121~150號,19.5,1房/1廳/1衛,4 /共20層,15.9,0.99,--,6.3萬,100萬
10409(實價),純土地,育人段1021~1050地號,--,0房/0廳/0衛,0 /共0層,--,136.94,--,5.7萬,775萬
10409(實價),華廈,嘉義市嘉義市藝術新?1~30號,23.9,3房/2廳/2衛,4 /共10層,30.95,6.92,--,10.7萬,330萬
10409(實價),透天厝,嘉義市嘉義市民權路421~450號,0.8,0房/0廳/0衛,1 /共5層,164.58,58.38,--,24.9萬,4100萬
10409(實價),透天厝,嘉義市嘉義市民權路421~450號,0.8,0房/0廳/0衛,1 /共5層,174.66,58.38,--,23.5萬,4100萬
10409(實價),華廈,嘉義市嘉義市長安街91~120號,21.9,3房/2廳/2衛,9 /共10層,34.51,6.56,--,7.9萬,272萬
10409(實價),透天厝,嘉義市嘉義市德明路139巷1~30號,32.8,4房/2廳/2衛,1 /共2層,30.36,25.41,--,12.5萬,380萬
10409(實價),透天厝,嘉義市嘉義市大雅路一段288巷116弄1~30號,1.9,3房/3廳/3衛,1 /共3層,60.22,33.5,--,15.8萬,950萬
10409(實價),透天厝,嘉義市嘉義市重慶路151~180號,31.4,6房/2廳/3衛,1 /共3層,47.21,24.2,--,21.2萬,1000萬
10409(實價),透天厝,嘉義市嘉義市興業西路391~420號,29.6,5房/2廳/4衛,1 /共4層,88.06,29.04,--,28.4萬,2500萬
10409(實價),透天厝,嘉義市嘉義市世賢路四段350巷27弄31~60號,29.8,3房/2廳/2衛,1 /共2層,35.33,24.5,--,5.7萬,200萬
10409(實價),套房,嘉義市嘉義市文雅街116巷1~30號,19.3,1房/1廳/1衛,4 /共9層,13.93,2.14,--,8.3萬,115萬
10409(實價),透天厝,嘉義市嘉義市日新街31~60號,39.3,3房/2廳/2衛,1 /共2層,33.16,29.95,--,16.6萬,550萬
10409(實價),透天厝,嘉義市嘉義市大平街151~180號,0.1,6房/5廳/6衛,1 /共5層,520.74,486.57,--,17.4萬,9040萬
10409(實價),華廈(含車位),嘉義市嘉義市體育路1~30號,21.7,4房/3廳/2衛,5 /共9層,51.35,10.35,--,8.8萬,450萬
10409(實價),華廈,嘉義市嘉義市盧厝91~120號,25.4,3房/2廳/2衛,4 /共7層,36.85,7.64,--,10萬,370萬
10409(實價),透天厝,嘉義市嘉義市義教街721~750號,34,5房/3廳/3衛,1 /共3層,53.69,26.62,--,16.2萬,870萬
10409(實價),華廈,嘉義市嘉義市蓋瑞一街61~90號,22.1,3房/2廳/2衛,4 /共7層,41.34,7.44,--,8萬,330萬
10409(實價),純土地,新富段五小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,7.87,--,0.1萬,1萬
10409(實價),透天厝(含車位),嘉義市嘉義市東洋新?61~90號,12.7,4房/2廳/5衛,1 /共5層,106.56,36.32,--,16萬,1700萬
10409(實價),純土地,港子坪段港坪小段31~60地號,--,0房/0廳/0衛,0 /共0層,--,31.76,--,15.7萬,500萬
10409(實價),華廈,嘉義市嘉義市民樂街61~90號,24.5,2房/2廳/1衛,2 /共7層,23.01,4.28,--,9.6萬,220萬
10409(實價),透天厝,嘉義市嘉義市文雅街140巷25弄1~30號,20.8,6房/2廳/3衛,1 /共5層,63.64,22.08,--,10.2萬,650萬
10409(實價),透天厝,嘉義市嘉義市培元里新榮路83巷1~30號,50.8,3房/1廳/2衛,1 /共2層,20.23,15.13,--,19.4萬,393萬
10409(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.3,1房/1廳/1衛,5 /共16層,20.59,2.45,--,5.5萬,113萬
10409(實價),公寓,嘉義市嘉義市民生南路608巷151~180號,30,3房/2廳/1衛,4 /共5層,26.2,6.21,--,4.3萬,112萬
10409(實價),透天厝,嘉義市嘉義市博愛路二段429巷1~30號,41,4房/2廳/2衛,1 /共2層,33.08,22.69,--,9.1萬,300萬
10409(實價),透天厝,嘉義市嘉義市大聖一街31~60號,12.3,4房/3廳/5衛,1 /共4層,71.59,43.02,--,15.4萬,1100萬
10409(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.3,2房/1廳/1衛,5 /共16層,29.17,3.49,--,6.9萬,200萬
10409(實價),住宅大樓,嘉義市嘉義市國賢二街31~60號,23.3,0房/0廳/0衛,1 /共15層,171.83,0,--,2.9萬,500萬
10409(實價),住宅大樓,嘉義市嘉義市國賢一街61~90號,23.3,3房/1廳/2衛,14 /共15層,44.41,0,--,2.7萬,120萬
10409(實價),透天厝,嘉義市嘉義市西榮街271~300號,9.2,4房/2廳/3衛,1 /共4層,55.69,21.48,--,21.5萬,1200萬
10409(實價),透天厝,嘉義市嘉義市彌陀路241巷1~30號,39.7,4房/2廳/3衛,1 /共2層,19.72,16.34,--,14.5萬,285萬
10409(實價),華廈,嘉義市嘉義市嘉北街97巷18弄1~30號,22.8,3房/2廳/2衛,2 /共7層,41.88,7.92,--,10.7萬,450萬
10409(實價),透天厝,嘉義市嘉義市臺林街215巷1~30號,24.8,4房/2廳/3衛,1 /共2層,39.36,27.53,--,18.4萬,726萬
10409(實價),透天厝,嘉義市嘉義市龍江街16巷1~30號,4.7,4房/3廳/3衛,1 /共3層,52.84,28.13,--,19.9萬,1050萬
10409(實價),套房,嘉義市嘉義市東洋新?121~150號,26.3,1房/1廳/1衛,3 /共5層,12.57,3.53,--,8.6萬,108萬
10409(實價),純土地,西門段七小段31~60地號,--,0房/0廳/0衛,0 /共0層,--,5.14,--,11.3萬,58萬
10409(實價),透天厝,嘉義市嘉義市吳鳳南路689巷1~30號,21.4,5房/2廳/4衛,1 /共5層,58.03,23.9,--,8萬,465萬
10409(實價),純車位(含車位),嘉義市嘉義市博愛路二段151~180號,--,0房/0廳/0衛,0 /共0層,15.46,0,--,0萬,70萬
10409(實價),透天厝,嘉義市嘉義市保義路246巷1~30號,28.4,0房/0廳/0衛,1 /共1層,52,100.13,--,8.7萬,450萬
10409(實價),住宅大樓,嘉義市嘉義市世賢路一段811~840號,22.5,3房/2廳/2衛,6 /共12層,36.19,3.42,--,9.3萬,335萬
10409(實價),透天厝,嘉義市嘉義市東義路93巷1~30號,30.2,3房/3廳/2衛,1 /共2層,33.24,22.69,--,12.6萬,420萬
10409(實價),華廈,嘉義市嘉義市光彩街481~510號,22.4,1房/1廳/1衛,3 /共6層,15.51,2.6,--,5.3萬,82萬
10409(實價),套房,嘉義市嘉義市忠順一街1~30號,22.5,1房/1廳/1衛,6 /共8層,13.05,1.77,--,11.5萬,150萬
10409(實價),住宅大樓(含車位),嘉義市嘉義市志昇街1~30號,10.8,3房/2廳/2衛,8 /共14層,55.55,11.43,--,9.3萬,515萬
10409(實價),套房,嘉義市嘉義市垂楊路841~870號,23.8,1房/1廳/1衛,6 /共12層,11.18,1.24,--,7.5萬,83萬
