年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10404(實價),套房,嘉義市嘉義市小雅路181~210號,21.8,1房/1廳/1衛,4 /共16層,14.56,1.76,--,--萬,5.6萬,82萬,600台灣嘉義市東區小雅路185號,23.4726044,120.4740688,蘭潭里
10404(實價),套房,嘉義市嘉義市中興路31~60號,26.6,1房/1廳/1衛,6 /共10層,11.43,1.03,--,--萬,10.5萬,120萬,600台灣嘉義市西區中興路21號,23.4803298,120.4392574,後驛里
10404(實價),透天厝,嘉義市嘉義市宣信街151~180號,39.1,3房/2廳/2衛,1 /共2層,32.39,19.66,--,--萬,16.1萬,520萬,600台灣嘉義市東區宣信街194-228號,23.4677553,120.4612433,芳安里
10404(實價),透天厝,嘉義市嘉義市立仁路301~330號,7.8,4房/3廳/4衛,1 /共4層,72.68,39.02,--,--萬,21.7萬,1580萬,600台灣嘉義市東區立仁路330號,23.463718,120.46033,頂寮里
10404(實價),公寓,嘉義市嘉義市重興里博愛路一段496巷1~30號,28.4,3房/2廳/2衛,3 /共5層,32.09,8.35,--,--萬,6.9萬,220萬,600台灣嘉義市西區博愛路一段482巷30號,23.4864012,120.4425852,重興里
10404(實價),華廈,嘉義市嘉義市嘉北街61~90號,24.5,3房/1廳/2衛,1 /共7層,62.35,14.22,--,--萬,11.5萬,720萬,600台灣嘉義市東區嘉北街90號,23.4940596,120.4536092,仁義里
10404(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.1,3房/2廳/2衛,20 /共20層,39.59,2.96,--,--萬,8.3萬,330萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
10404(實價),透天厝,嘉義市嘉義市大同路438巷1弄1~30號,16.2,4房/2廳/3衛,1 /共3層,43.85,26.18,--,--萬,13.9萬,610萬,600台灣嘉義市西區大同路438巷1弄32號,23.4749078,120.4159637,港坪里
10404(實價),住宅大樓,嘉義市嘉義市安樂街61~90號,15.3,3房/2廳/2衛,9 /共12層,44,6.75,--,--萬,10.4萬,456萬,600台灣嘉義市東區安樂街60-62號,23.4831185,120.4612216,中山里
10404(實價),透天厝,嘉義市嘉義市蘭州四街31~60號,0.7,5房/2廳/5衛,1 /共3層,51.64,25.11,--,--萬,20.9萬,1080萬,600台灣嘉義市西區蘭州四街37號,23.4656285,120.4296491,車店里
