年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10404(實價),住宅大樓,嘉義市嘉義市新民路391~420號,20.8,3房/2廳/2衛,12 /共12層,44.63,6.87,--,#NAME?,8.1萬,360萬,600台灣嘉義市西區新民路420號,23.4602379,120.4407319,光路里
10404(實價),住宅大樓,嘉義市嘉義市保建街31~60號,21.8,3房/2廳/2衛,7 /共12層,34.02,5.79,--,#NAME?,8.1萬,275萬,600台灣嘉義市東區保建街60號,23.5006199,120.4530035,後湖里
10404(實價),住宅大樓(含車位),嘉義市嘉義市溪興街121~150號,22.3,3房/2廳/2衛,14 /共16層,53.99,4.09,--,#NAME?,8.1萬,440萬,600台灣嘉義市東區溪興街129號,23.4553335,120.4571337,興村里
10404(實價),華廈(含車位),嘉義市嘉義市延平街241~270號,21.3,2房/1廳/1衛,5 /共8層,29.15,4.14,--,#NAME?,8.2萬,240萬,600台灣嘉義市西區延平街270號,23.4767659,120.4491366,文化里
10404(實價),套房,嘉義市嘉義市博愛路一段482巷1~30號,20.3,1房/1廳/1衛,4 /共7層,9.34,1.29,--,#NAME?,8.2萬,77萬,600台灣嘉義市西區博愛路一段482巷30號,23.4864012,120.4425852,重興里
10404(實價),華廈,嘉義市嘉義市文雅街116巷31~60號,18.8,2房/2廳/2衛,4 /共9層,39.03,6.24,--,#NAME?,8.2萬,320萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
10404(實價),套房,嘉義市嘉義市文雅街140巷1~30號,18.8,1房/1廳/1衛,9 /共9層,14.68,2.3,--,#NAME?,8.2萬,120萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
10404(實價),住宅大樓(含車位),嘉義市嘉義市忠孝路781~810號,19.5,2房/2廳/2衛,5 /共11層,30.34,5.08,--,#NAME?,8.2萬,250萬,600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873,荖藤里
10404(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17.1,3房/2廳/2衛,2 /共22層,45.53,5.6,--,#NAME?,8.2萬,375萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
10404(實價),住宅大樓,嘉義市嘉義市永安街301~330號,10.5,4房/2廳/2衛,2 /共14層,60.24,10.55,--,#NAME?,8.3萬,500萬,600台灣嘉義市西區民生南路131號,23.4704025,120.4473033,育英里
10404(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.1,3房/2廳/2衛,20 /共20層,39.59,2.96,--,#NAME?,8.3萬,330萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
10404(實價),透天厝,嘉義市嘉義市信義路45巷1~30號,21.3,5房/1廳/3衛,1 /共3層,28.99,29.95,--,#NAME?,8.4萬,242萬,600台灣嘉義市西區信義路49-1號,23.4743187,120.4343596,西平里
10404(實價),住宅大樓(含車位),嘉義市嘉義市興業西路181~210號,10.4,3房/2廳/2衛,7 /共14層,53.75,9.75,--,#NAME?,8.4萬,450萬,600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177,自強里
10404(實價),住宅大樓,嘉義市嘉義市興達路511~540號,21,5房/2廳/2衛,1 /共12層,53.77,6.93,--,#NAME?,8.4萬,450萬,600台灣嘉義市西區興達路511號,23.4849587,120.4297621,保福里
10404(實價),住宅大樓,嘉義市嘉義市金龍街31~60號,19.9,3房/2廳/2衛,7 /共15層,48.89,5.98,--,#NAME?,8.4萬,411萬,600台灣嘉義市東區金龍街33-35號,23.4789667,120.4707766,東川里
10404(實價),套房,嘉義市嘉義市垂楊路841~870號,23.4,1房/1廳/1衛,4 /共12層,13.47,1.52,--,#NAME?,8.5萬,114萬,600台灣嘉義市西區垂楊路860號,23.4728286,120.4380429,永和里
10404(實價),套房,嘉義市嘉義市垂楊路841~870號,23.4,1房/1廳/1衛,5 /共12層,13.47,1.52,--,#NAME?,8.5萬,114萬,600台灣嘉義市西區垂楊路860號,23.4728286,120.4380429,永和里
10404(實價),套房,嘉義市嘉義市垂楊路841~870號,23.4,1房/1廳/1衛,7 /共12層,9.45,1.05,--,#NAME?,8.5萬,80萬,600台灣嘉義市西區垂楊路860號,23.4728286,120.4380429,永和里
10404(實價),套房,嘉義市嘉義市垂楊路841~870號,23.4,1房/1廳/1衛,7 /共12層,13.47,1.52,--,#NAME?,8.5萬,115萬,600台灣嘉義市西區垂楊路860號,23.4728286,120.4380429,永和里
10404(實價),華廈,嘉義市嘉義市泰瑞二街61~90號,22.7,3房/2廳/2衛,6 /共7層,36.75,6.59,--,#NAME?,8.7萬,320萬,600台灣嘉義市西區泰山三街70號,23.4857978,120.4256421,福安里
10404(實價),住宅大樓,嘉義市嘉義市彌陀路91~120號,19.1,3房/2廳/2衛,1 /共20層,57.32,5.26,--,#NAME?,8.7萬,500萬,600台灣嘉義市東區彌陀路120號,23.4672873,120.4670996,短竹里
10404(實價),住宅大樓,嘉義市嘉義市八德路181~210號,21.3,3房/2廳/2衛,7 /共12層,31.87,3.95,--,#NAME?,8.8萬,282萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里
10404(實價),住宅大樓,嘉義市嘉義市世賢路一段631~660號,20.8,3房/1廳/2衛,8 /共12層,31.8,2.93,--,#NAME?,8.8萬,280萬,600台灣嘉義市西區世賢路一段630號,23.4931556,120.4301178,保安里
10404(實價),套房,嘉義市嘉義市興雅路91~120號,21.7,1房/1廳/1衛,3 /共9層,10.83,1.08,--,#NAME?,8.8萬,95萬,600台灣嘉義市西區興雅路91號,23.4828596,120.4330361,竹圍里
10404(實價),住宅大樓,嘉義市嘉義市彌陀路91~120號,19.1,3房/2廳/2衛,1 /共20層,54.68,4.93,--,#NAME?,8.8萬,480萬,600台灣嘉義市東區彌陀路120號,23.4672873,120.4670996,短竹里
10404(實價),透天厝,嘉義市嘉義市忠孝路511~540號,22.3,4房/2廳/3衛,1 /共4層,57,20.57,--,#NAME?,8.8萬,500萬,600台灣嘉義市東區縱貫公路500-512號,23.4935304,120.4527702,
10404(實價),套房,嘉義市嘉義市玉山路240巷1~30號,20.8,1房/1廳/1衛,10 /共12層,16.86,2.33,--,#NAME?,8.9萬,150萬,600台灣嘉義市西區玉山路1號,23.473261,120.4319371,磚瑤里
10404(實價),華廈,嘉義市嘉義市西區自強街195巷31~60號,19.5,3房/2廳/2衛,7 /共7層,36.24,6.57,--,#NAME?,8萬,290萬,600台灣嘉義市西區自強街195巷27號,23.464458,120.4203273,劉厝里
10404(實價),套房,嘉義市嘉義市興雅路91~120號,21.7,1房/1廳/1衛,3 /共9層,11.25,1.18,--,#NAME?,8萬,90萬,600台灣嘉義市西區興雅路91號,23.4828596,120.4330361,竹圍里
