年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10406(實價),透天厝,嘉義市嘉義市頂埤31~60號,21.3,8房/2廳/3衛,1 /共3層,84.7,60.25,--,--萬,9萬,760萬,600台灣嘉義市東區保義路60巷17號,23.5013395,120.4532965,後湖里
10406(實價),華廈,嘉義市嘉義市永春一街1~30號,17.9,3房/2廳/2衛,6 /共6層,48.65,10.21,--,--萬,7.8萬,380萬,600台灣嘉義市西區永春一街30號,23.4776669,120.4265968,西平里
10406(實價),套房,嘉義市嘉義市仁愛路331~360號,19.4,1房/1廳/1衛,12 /共14層,14.98,1.52,--,--萬,8萬,120萬,600台灣嘉義市西區仁愛路398-410號,23.4736556,120.4424013,新富里
10406(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,2,4房/2廳/4衛,1 /共4層,80.56,32.67,--,--萬,24.1萬,1939萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里
10406(實價),透天厝,嘉義市嘉義市福州六街61~90號,28.9,5房/2廳/5衛,1 /共2層,35.48,28.74,--,--萬,22.5萬,800萬,600台灣嘉義市西區福州六街45-71號,23.4640664,120.4321096,福民里
10406(實價),透天厝,嘉義市嘉義市劉富街31~60號,8.5,4房/3廳/4衛,1 /共4層,66.95,36.63,--,--萬,16.4萬,1100萬,600台灣嘉義市西區劉富街60號,23.4630582,120.4215542,劉厝里
10406(實價),透天厝,嘉義市嘉義市劉厝里自強街49巷1~30號,29.4,5房/3廳/3衛,1 /共2層,41.51,33.88,--,--萬,13萬,539萬,600台灣嘉義市西區自強街30號,23.4650353,120.4233638,劉厝里
10406(實價),透天厝,嘉義市嘉義市東義路631~660號,8.3,4房/2廳/3衛,1 /共3層,56.68,44.17,--,--萬,11.2萬,636萬,600台灣嘉義市東區善血橋733號,23.4904999,120.4671426,新店里
10406(實價),華廈,嘉義市嘉義市興仁街38巷91~120號,20.5,4房/2廳/3衛,3 /共9層,47.74,14.01,--,--萬,9.4萬,450萬,600台灣嘉義縣東區興仁街38巷25號,23.4576798,120.4646698,興仁里
10406(實價),透天厝,嘉義市嘉義市玉山路369巷31~60號,38.2,4房/2廳/4衛,1 /共2層,29.13,19.66,--,--萬,16.8萬,490萬,600台灣嘉義市西區玉山路46-64號,23.473191,120.4311724,磚磘里
10406(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.3,3房/2廳/2衛,4 /共20層,42.52,3.29,--,--萬,9.1萬,385萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
10406(實價),住宅大樓(含車位),嘉義市嘉義市世賢路一段631~660號,20.9,3房/2廳/2衛,9 /共12層,40.26,3.89,--,--萬,8.3萬,336萬,600台灣嘉義市西區世賢路一段630號,23.4931556,120.4301178,保安里
10406(實價),透天厝,嘉義市嘉義市軍輝路281巷31~60號,0.1,4房/2廳/4衛,1 /共4層,62.02,28.6,--,--萬,13.7萬,850萬,600台灣嘉義市東區軍輝路60號,23.456132,120.4637739,興仁里
10406(實價),住宅大樓(含車位),嘉義市嘉義市仁愛路240巷1~30號,10.7,3房/2廳/2衛,6 /共14層,56.57,10.57,--,--萬,9.6萬,545萬,600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522,自強里
10406(實價),透天厝,嘉義市嘉義市軍輝路281巷1~30號,0.1,4房/2廳/4衛,1 /共4層,60.92,17.11,--,--萬,13.1萬,800萬,600台灣嘉義市東區軍輝路91巷1號,23.4560228,120.4618719,興仁里
10406(實價),透天厝,嘉義市嘉義市軍輝路281巷1~30號,0.1,4房/2廳/4衛,1 /共4層,60.92,27.39,--,--萬,13.3萬,810萬,600台灣嘉義市東區軍輝路91巷1號,23.4560228,120.4618719,興仁里
10406(實價),透天厝,嘉義市嘉義市世賢路四段98巷1~30號,11.8,6房/4廳/7衛,1 /共5層,95.86,43.74,--,--萬,15.9萬,1520萬,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
10406(實價),透天厝,嘉義市嘉義市軍輝路281巷61~90號,0.1,4房/2廳/4衛,1 /共4層,62.12,27.39,--,--萬,13.8萬,860萬,600台灣嘉義市東區軍輝路90號,23.4561836,120.4626483,興仁里
10406(實價),華廈,嘉義市嘉義市和平路31~60號,22.5,2房/1廳/1衛,3 /共7層,22.34,4.24,--,--萬,9.4萬,210萬,600台灣嘉義市東區和平路60號,23.4755287,120.457774,朝陽里
10406(實價),透天厝,嘉義市嘉義市撫順二街1~30號,2.4,4房/1廳/3衛,1 /共3層,53.52,25.71,--,--萬,14.9萬,800萬,600台灣嘉義市西區撫順二街30號,23.4901773,120.439651,新厝里
10406(實價),住宅大樓(含車位),嘉義市嘉義市志昇街1~30號,10.6,3房/2廳/2衛,14 /共14層,55.55,11.43,--,--萬,9.5萬,530萬,600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175,自強里
10406(實價),華廈,嘉義市嘉義市水源地31~60號,22.4,3房/2廳/2衛,1 /共6層,32.57,6.58,--,--萬,15萬,490萬,找不到位址,無,無,無
10406(實價),透天厝,嘉義市嘉義市西區新民路805巷1~30號,36.4,3房/2廳/2衛,1 /共2層,33.46,21.78,--,--萬,6.9萬,230萬,600台灣嘉義市西區新民路464-1號,23.4610542,120.4409805,光路里
10406(實價),透天厝,嘉義市嘉義市育人路258巷58弄1~30號,16.6,5房/3廳/4衛,1 /共4層,56.95,24.61,--,--萬,10.3萬,586萬,600台灣嘉義市西區育人路258巷76號,23.4743293,120.4163811,港坪里
10406(實價),透天厝,嘉義市嘉義市大聖二街1~30號,2.7,3房/3廳/3衛,1 /共4層,61.65,25.69,--,--萬,12.5萬,770萬,600台灣嘉義市西區大聖二街12號,23.4626339,120.4209624,劉厝里
