年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10410(實價),透天厝,嘉義市嘉義市臺林街237巷61~90號,33.8,3房/1廳/3衛,1 /共2層,21.13,19.06,--,--萬,19.9萬,420萬,找不到位址,無,無,無
10410(實價),公寓,嘉義市嘉義市民權路61~90號,35,2房/1廳/1衛,5 /共5層,18.46,7.99,--,--萬,4.9萬,90萬,600台灣嘉義市東區民權路90號,23.483832,120.4594724,中山里
10410(實價),透天厝,嘉義市嘉義市海口寮路91~120號,1.4,5房/2廳/5衛,1 /共3層,70.27,33.28,--,--萬,13.2萬,925萬,600台灣嘉義市西區海口寮路91號,23.4970252,120.4317605,北新里
10410(實價),住宅大樓,嘉義市嘉義市德明路61~90號,20.2,3房/2廳/2衛,11 /共19層,41.16,3.52,--,--萬,10.4萬,428萬,600台灣嘉義市西區德明路90號,23.4814836,120.4320387,福全里
10410(實價),透天厝,嘉義市嘉義市安東三街1~30號,29,4房/2廳/2衛,1 /共2層,29.58,24.5,--,--萬,17.9萬,530萬,600台灣嘉義市西區安東三街3號,23.4923246,120.4342712,保生里
10410(實價),公寓,嘉義市嘉義市民生南路590巷61~90號,30.3,2房/2廳/1衛,2 /共5層,18.98,5.42,--,--萬,4.5萬,85萬,600台灣嘉義市西區民生南路63-69號,23.4719539,120.4470525,導明里
10410(實價),華廈(含車位),嘉義市嘉義市忠孝路1~30號,20,3房/2廳/2衛,2 /共6層,46.02,7.68,--,--萬,9.5萬,438萬,600台灣嘉義市東區忠孝路522-1號,23.4939767,120.452811,仁義里
10410(實價),住宅大樓(含車位),嘉義市嘉義市泰山一街31~60號,20.8,3房/2廳/2衛,8 /共14層,34.12,4.14,--,--萬,9.6萬,326萬,600台灣嘉義市西區泰山一街60號,23.4852749,120.425294,福安里
10410(實價),透天厝,嘉義市嘉義市頂埤31~60號,18,5房/2廳/4衛,1 /共4層,145.72,74.73,--,--萬,8.2萬,1200萬,600台灣嘉義市東區保義路60巷17號,23.5013395,120.4532965,後湖里
10410(實價),透天厝,嘉義市嘉義市民生南路608巷361~390號,14.8,4房/3廳/4衛,1 /共4層,72.2,22.69,--,--萬,9.4萬,680萬,600台灣嘉義市西區民生南路608巷192號,23.4579477,120.4408726,獅子里
10410(實價),透天厝,嘉義市嘉義市國聖一街31~60號,33.4,4房/2廳/3衛,1 /共2層,30.14,24.2,--,--萬,19.8萬,598萬,600台灣嘉義市西區國聖一街33號,23.4855958,120.4290798,保福里
10410(實價),透天厝,嘉義市嘉義市安樂街86巷1~30號,46.9,3房/2廳/2衛,1 /共2層,26.71,18.57,--,--萬,13.7萬,365萬,600台灣嘉義市東區安樂街30號,23.4833003,120.4620041,中山里
10410(實價),套房,嘉義市嘉義市小雅路181~210號,22.3,1房/1廳/1衛,5 /共16層,12.38,1.48,--,--萬,5.9萬,73萬,600台灣嘉義市東區小雅路185號,23.4726044,120.4740688,蘭潭里
10410(實價),住宅大樓,嘉義市嘉義市保建街31~60號,22.3,3房/2廳/2衛,7 /共12層,34.02,5.79,--,--萬,10.6萬,360萬,600台灣嘉義市東區保建街60號,23.5006199,120.4530035,後湖里
10410(實價),透天厝,嘉義市嘉義市光彩街61~90號,48.8,3房/2廳/2衛,1 /共3層,42.3,28.44,--,--萬,25.8萬,1090萬,600台灣嘉義市東區光彩街8-85號,23.4789315,120.4568904,華南里
10410(實價),透天厝,嘉義市嘉義市育人路241~270號,19.6,4房/2廳/3衛,1 /共3層,48.8,27.48,--,--萬,12.5萬,610萬,600台灣嘉義市西區育人路213-315號,23.4728882,120.4151977,港坪里
10410(實價),住宅大樓,嘉義市嘉義市友愛路481~510號,15.9,2房/1廳/1衛,10 /共12層,20.99,2.5,--,--萬,8.4萬,176萬,600台灣嘉義市西區友愛路510號,23.4886401,120.4349389,保安里
10410(實價),華廈,嘉義市嘉義市彌陀路238巷59弄1~30號,25.7,3房/2廳/2衛,5 /共7層,43.49,8.9,--,--萬,8.6萬,372萬,600台灣嘉義市東區彌陀路238巷7弄5號,23.4740199,120.4632164,短竹里
10410(實價),透天厝,嘉義市嘉義市新民路499巷1~30號,34.9,4房/2廳/2衛,1 /共2層,24.97,21.48,--,--萬,18.4萬,460萬,600台灣嘉義市西區新民路464-1號,23.4610542,120.4409805,光路里
10410(實價),華廈(含車位),嘉義市嘉義市南興路199巷31~60號,20.2,4房/2廳/2衛,3 /共5層,41.66,9.67,--,--萬,7.9萬,330萬,600台灣嘉義市東區南興路63號,23.4665902,120.460881,芳安里
10410(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.6,2房/2廳/1衛,8 /共20層,26.8,2.14,--,--萬,10萬,268萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
10410(實價),住宅大樓,嘉義市嘉義市民權路1~30號,17.5,3房/1廳/2衛,11 /共16層,31.97,4.51,--,--萬,15.4萬,492萬,600台灣嘉義市東區民權路10-1號,23.484367,120.465974,王田里
10410(實價),透天厝,嘉義市嘉義市林森東路269巷58弄1~30號,38.7,3房/2廳/2衛,1 /共2層,26.75,20.27,--,--萬,6.4萬,170萬,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
10410(實價),華廈(含車位),嘉義市嘉義市泰山三街31~60號,22.3,3房/2廳/2衛,3 /共7層,40.57,7.22,--,--萬,8.3萬,335萬,600台灣嘉義市西區泰山三街31號,23.4858262,120.4260269,福安里
10410(實價),透天厝,嘉義市嘉義市文雅街1巷1~30號,11.4,5房/2廳/5衛,1 /共5層,74.88,28.44,--,--萬,16萬,1200萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
10410(實價),住宅大樓,嘉義市嘉義市文雅街271~300號,21.5,3房/2廳/2衛,5 /共12層,39.21,7.83,--,--萬,9.1萬,355萬,600台灣嘉義市東區文雅街168號,23.4833501,120.4847978,文雅里
10410(實價),套房,嘉義市嘉義市杭州四街61~90號,26.8,1房/1廳/1衛,6 /共7層,15.64,3.39,--,--萬,6.1萬,95萬,600台灣嘉義市西區杭州四街42號,23.4672318,120.4450469,美源里
10410(實價),透天厝,嘉義市嘉義市興安街203巷6弄1~30號,24.5,4房/3廳/3衛,1 /共4層,46.96,21.48,--,--萬,8.9萬,420萬,600台灣嘉義市東區興安街203巷23弄10號,23.4594526,120.4503915,興安里
10410(實價),華廈(含車位),嘉義市嘉義市國揚四街1~30號,22.6,3房/2廳/2衛,5 /共6層,37.41,7.48,--,--萬,5.6萬,210萬,600台灣嘉義市西區國揚一街101號,23.4868788,120.4263032,福安里
10410(實價),透天厝,嘉義市嘉義市中央第二商場1~30號,43.6,4房/2廳/1衛,1 /共3層,35.34,12.4,--,--萬,11.3萬,400萬,600台灣嘉義市西區中央第二商場,23.4783996,120.4492603,文化里
10410(實價),住宅大樓,嘉義市嘉義市興達路481~510號,20.9,2房/2廳/1衛,2 /共16層,26.04,2.63,--,--萬,9.2萬,240萬,600台灣嘉義市西區興達路480號,23.484986,120.431949,竹圍里
10410(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,20,4房/2廳/2衛,11 /共11層,35.49,5.08,--,--萬,9.5萬,337萬,600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873,荖藤里
10410(實價),透天厝,嘉義市嘉義市姜文街31~60號,20.8,4房/1廳/4衛,1 /共4層,100.12,33.74,--,--萬,8.6萬,860萬,找不到位址,無,無,無
10410(實價),住宅大樓(含車位),嘉義市嘉義市民權路1~30號,17.5,3房/1廳/2衛,11 /共16層,57.03,7.01,15.71,--萬,15.4萬,877萬,600台灣嘉義市東區民權路10-1號,23.484367,120.465974,王田里
10410(實價),透天厝,嘉義市嘉義市林森東路679巷31~60號,41.1,4房/2廳/1衛,1 /共2層,24.07,16.94,--,--萬,7.4萬,177萬,600台灣嘉義市東區林森東路60號,23.4867484,120.4566382,林森里
10410(實價),透天厝,嘉義市嘉義市東義路156巷1弄1~30號,5.9,5房/2廳/6衛,1 /共3層,83.01,65.64,--,--萬,19.1萬,1588萬,600台灣嘉義市東區東義路156巷35弄30號,23.4953961,120.4709181,後庄里
10410(實價),店面(店鋪),嘉義市嘉義市新榮路61~90號,2.3,6房/2廳/3衛,1 /共4層,113.77,34.18,--,--萬,25.5萬,2900萬,600台灣嘉義市西區新榮路90號,23.4750262,120.444691,新富里
10410(實價),透天厝,嘉義市嘉義市大業街31~60號,32.9,4房/2廳/3衛,1 /共3層,42.53,22.69,--,--萬,14.6萬,622萬,600台灣嘉義市東區大業街48號,23.4630787,120.4542706,安業里
10410(實價),套房,嘉義市嘉義市安和街31~60號,22,1房/1廳/1衛,6 /共6層,13.69,2.82,--,--萬,10.2萬,140萬,600台灣嘉義市東區安和街31號,23.475988,120.4583987,朝陽里
10410(實價),透天厝,嘉義市嘉義市徐州六街1~30號,31.5,5房/2廳/2衛,1 /共3層,53.44,29.04,--,--萬,19.8萬,1060萬,600台灣嘉義市西區徐州六街40-42號,23.4668647,120.4380083,福民里
10410(實價),華廈,嘉義市嘉義市盧厝東洋新?301~330號,29.9,3房/2廳/2衛,3 /共5層,30.55,7.55,--,--萬,9.8萬,300萬,找不到位址,無,無,無
10410(實價),套房,嘉義市嘉義市小雅路181~210號,22.3,1房/1廳/1衛,7 /共16層,20.59,2.45,--,--萬,3.9萬,80萬,600台灣嘉義市東區小雅路185號,23.4726044,120.4740688,蘭潭里
10410(實價),住宅大樓,嘉義市嘉義市志昇街91~120號,10.9,3房/2廳/2衛,2 /共14層,56.84,8.79,--,--萬,9.2萬,523萬,600台灣嘉義市西區志昇街79號,23.4691128,120.4430855,翠岱里
