鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
民雄鄉,房地(土地+建物),嘉義縣民雄鄉中樂村保生街81巷1~30號,73.0,住,,,1060224,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680620,158.24,1,2,2,有,無,2988000,18883,,0.0,0,,RPTNMLRKMHMFFCQ17CA
太保市,房地(土地+建物),嘉義縣太保市麻寮里三合路301~330號,119.76,住,,,1060310,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050819,186.46,4,2,4,有,無,6880000,36898,,0.0,0,,RPWOMLQJMHMFFDQ47CA
鹿草鄉,土地,馬稠後段豐稠小段91~120地號,15292.0,,工業區,丁種建築用地,1060310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,143871724,9408,,0.0,0,向政府機關承購之案件。,RPQNMLRJMHMFFDQ86CA
水上鄉,土地,牛稠埔段31~60地號,9656.0,,山坡地保育區,暫未編定,1060323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,207,,0.0,0,,RPSNMLRJMHMFFDQ07CA
義竹鄉,土地,義竹段義竹小段901~930地號,1050.0,農,,,1060321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1344000,1280,,0.0,0,,RPRNMLRJMHMFFBQ76CA
六腳鄉,土地,六斗尾段六斗小段781~810地號,2734.0,,特定農業區,農牧用地,1060309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2460000,900,,0.0,0,,RPRNMLKKMHMFFBQ78CA
朴子市,土地,牛挑灣段松梅小段1561~1590地號,273.78,,鄉村區,乙種建築用地,1060320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,3653,,0.0,0,,RPUNMLOKMHMFFBQ86CA
朴子市,土地,吳竹子腳段德家小段331~360地號,2832.0,,特定農業區,農牧用地,1060327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3455040,1220,,0.0,0,,RPPOMLRLMHMFFBQ86CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉東榮村12鄰民族路1~30號,86.0,商,,,1060225,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0660505,189.21,4,3,2,有,無,8000000,42281,,0.0,0,1.孫女與祖父間買賣案件。,RPPNMLRJMHMFFCQ66CA
朴子市,房地(土地+建物),嘉義縣朴子市新進路121~150號,129.77,住,,,1060208,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060216,250.62,4,2,5,有,無,12500000,49876,,0.0,0,,RPQNMLTKMHMFFBQ96CA
朴子市,房地(土地+建物),嘉義縣朴子市新進路91~120號,130.51,住,,,1060310,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060216,237.81,4,2,5,有,無,12280000,51638,,0.0,0,,RPRNMLTKMHMFFBQ07CA
朴子市,房地(土地+建物),嘉義縣朴子市新進路91~120號,116.11,住,,,1060313,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060216,236.77,4,2,5,有,無,12000000,50682,,0.0,0,,RPSNMLTKMHMFFBQ17CA
太保市,房地(土地+建物),嘉義縣太保市中山路一段228巷19弄31~60號,27.16,住,,,1060304,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821006,132.17000000000002,3,2,2,有,有,2000000,15132,,0.0,0,,RPUNMLPLMHMFFDQ27CA
太保市,房地(土地+建物),嘉義縣太保市北港路二段429巷200弄1~30號,105.94,住,,,1060315,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041016,167.25,4,2,3,有,無,5700000,34081,,0.0,0,,RPUNMLRJMHMFFDQ37DA
太保市,房地(土地+建物),嘉義縣太保市三合路413巷1~30號,181.0,住,,,1051229,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051111,209.05,4,3,4,有,無,7600000,36355,,0.0,0,,RPVNMLRJMHMFFDQ47DA
梅山鄉,土地,梅北段2011~2040地號,1394.0,住,,,1060313,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24457730,17545,,0.0,0,,RPRNMLSJMHMFFEQ17CA
梅山鄉,土地,梅北段2011~2040地號,109.0,住,,,1060313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1912200,17543,,0.0,0,,RPSNMLSJMHMFFEQ27CA
梅山鄉,土地,梅北段2041~2070地號,316.0,住,,,1060320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5544200,17545,,0.0,0,,RPTNMLSJMHMFFEQ37CA
梅山鄉,土地,梅北段2041~2070地號,104.0,住,,,1060318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1824600,17544,,0.0,0,,RPUNMLSJMHMFFEQ47CA
大林鎮,土地,大埔美段大美小段31~60地號,3505.0,,工業區,丁種建築用地,1060314,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28439570,8114,,0.0,0,,RPPNMLKKMHMFFCQ88EA
民雄鄉,土地,好收段竹圍後小段391~420地號,1018.0,,一般農業區,農牧用地,1060301,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,639,,0.0,0,,RPRNMLLKMHMFFCQ56EA
民雄鄉,土地,民北段121~150地號,9.62,其他,,,1060309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,415203,43160,,0.0,0,協議價購,RPSNMLLKMHMFFCQ66EA
民雄鄉,土地,民北段811~840地號,27.5,其他,,,1060223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,467500,17000,,0.0,0,協議價購,RPUNMLLKMHMFFCQ86EA
民雄鄉,土地,民北段811~840地號,27.5,其他,,,1060218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,467500,17000,,0.0,0,協議價購,RPVNMLLKMHMFFCQ96EA
民雄鄉,土地,民北段121~150地號,2.0,其他,,,1060218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63000,31500,,0.0,0,協議價購,RPWNMLLKMHMFFCQ07EA
溪口鄉,土地,三疊溪段601~630地號,2839.0,,特定農業區,農牧用地,1060327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,881,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLOKMHMFFCQ17EA
竹崎鄉,土地,紫雲段31~60地號,1947.62,,山坡地保育區,農牧用地,1060315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,462,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLMKMHMFFEQ66EA
太保市,土地,民福段1~30地號,1943.35,住,,,1060308,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17313000,8909,,0.0,0,,RPPNMLKKMHMFFDQ98EA
太保市,土地,新埤段新埤小段1261~1290地號,2545.0,,特定農業區,農牧用地,1060315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7635000,3000,,0.0,0,,RPWOMLNKMHMFFDQ37DA
梅山鄉,土地,梅東段181~210地號,1185.0,農,,,1060321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,3797,,0.0,0,,RPQNMLMKMHMFFEQ56CA
梅山鄉,土地,龍眼林段241~270地號,2020.0,,山坡地保育區,林業用地,1060324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,89,,0.0,0,,RPQNMLNKMHMFFEQ66CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉頭橋路691~720號,30.4,住,,,1060314,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811130,81.59,3,1,2,有,無,1150000,14095,,0.0,0,,RPQNMLKKMHMFFCQ88DA
梅山鄉,土地,梅東段841~870地號,106.0,住,,,1060308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640456,15476,,0.0,0,親友其他特殊關係間之交易。,RPQNMLSJMHMFFEQ07CA
東石鄉,土地,下揖子寮段241~270地號,1452.38,,鄉村區,乙種建築用地,1060322,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2193567,1510,,0.0,0,權利人共3人親友、員工或其他特殊關係間之交易。,RPQNMLLKMHMFFBQ88DA
太保市,土地,東勢寮段東勢小段211~240地號,8320.0,住,,,1060223,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62400000,7500,,0.0,0,,RPPNMLNJNHMFFDQ09CA
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街1~30號,91.68,住,,,1060327,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,189.64,3,2,4,有,無,7600000,40076,,0.0,0,,RPQNMLQLMHMFFDQ96CA
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街18巷1~30號,86.52,住,,,1060327,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,187.38,4,2,3,有,無,6950000,37090,,0.0,0,,RPRNMLQLMHMFFDQ07CA
