年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10401(實價),公寓,嘉義市嘉義市中庄里海埔新村1~30號,31.8,3房/2廳/2衛,5 /共5層,25.13,11.51,--,--萬,7萬,175萬,找不到位址,無,無,無
10401(實價),透天厝,嘉義市嘉義市自立街31~60號,3.5,4房/2廳/3衛,1 /共3層,53.78,23.9,--,--萬,17.4萬,936萬,找不到位址,無,無,無
10401(實價),透天厝,嘉義市嘉義市長春二街91~120號,8.7,4房/2廳/3衛,1 /共3層,51.76,27.53,--,--萬,15.5萬,800萬,600台灣嘉義市西區長春二街94號,23.4895362,120.4368819,保生里
10401(實價),住宅大樓(含車位),嘉義市嘉義市新榮路35巷1~30號,10.3,3房/2廳/2衛,9 /共14層,64.01,10.78,--,--萬,7.7萬,490萬,600台灣嘉義市西區新榮路1號,23.4689591,120.4451514,致遠里
10401(實價),透天厝,嘉義市嘉義市東洋新?1~30號,7.3,4房/3廳/4衛,1 /共4層,70.95,27.83,--,--萬,17.6萬,1250萬,600台灣嘉義市東區文雅街,23.4837986,120.487306,文雅里
10401(實價),住宅大樓,嘉義市嘉義市八德路301~330號,20.2,3房/2廳/2衛,4 /共16層,32.17,3.47,--,--萬,9.9萬,320萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10401(實價),透天厝,嘉義市嘉義市大富三街31~60號,9.3,5房/3廳/4衛,1 /共4層,66.6,42.94,--,--萬,18.8萬,1250萬,600台灣嘉義市西區大富三街52-66號,23.46367,120.4140046,劉厝里
10401(實價),透天厝,嘉義市嘉義市松江二街31~60號,37.1,3房/2廳/2衛,1 /共2層,33.51,27.83,--,--萬,13.7萬,460萬,600台灣嘉義市西區松江二街26-33號,23.4931474,120.4416779,新厝里
10401(實價),透天厝,嘉義市嘉義市湖子內路1~30號,29.3,4房/1廳/3衛,1 /共3層,67.86,30.55,--,--萬,13.9萬,940萬,600台灣嘉義市西區湖子內路24-32號,23.454535,120.4430195,湖內里
10401(實價),華廈,嘉義市嘉義市永康二街1~30號,22.7,2房/1廳/1衛,6 /共7層,25.93,4.43,--,--萬,0.8萬,22萬,600台灣嘉義市西區永康二街8-14號,23.4751797,120.4243676,磚磘里
10401(實價),透天厝,嘉義市嘉義市大業街106巷86弄1~30號,8.8,4房/2廳/2衛,1 /共3層,52.83,23.38,--,--萬,14萬,738萬,600台灣嘉義市東區大業街106巷86弄12號,23.4644326,120.4526266,安業里
10401(實價),透天厝,嘉義市嘉義市新生路386巷1~30號,40.2,3房/2廳/2衛,1 /共2層,23.08,17.85,--,--萬,12.4萬,286萬,600台灣嘉義市東區Y崗,23.4858515,120.4604334,太平里
